,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.0,0.0
2014-10-01,0.0847457627118644,437.0
2014-11-01,0.025423728813559324,131.0
2014-12-01,0.06504065040650407,335.0
2015-01-01,0.4878048780487805,2515.0
2015-02-01,0.0,0.0
2015-03-01,0.015873015873015872,82.0
2015-04-01,0.16535433070866143,853.0
2015-05-01,0.1297709923664122,669.0
2015-06-01,0.03787878787878788,195.0
2015-07-01,0.22388059701492538,1154.0
2015-08-01,0.04477611940298507,231.0
2015-09-01,0.014705882352941176,76.0
2015-10-01,0.058823529411764705,303.0
2015-11-01,0.0,0.0
2015-12-01,0.0,0.0
2016-01-01,0.3188405797101449,1644.0
2016-02-01,0.007246376811594203,37.0
2016-03-01,0.014285714285714285,74.0
2016-04-01,0.11347517730496454,585.0
2016-05-01,0.0070921985815602835,37.0
2016-06-01,0.1347517730496454,695.0
2016-07-01,0.014184397163120567,73.0
2016-08-01,0.013986013986013986,72.0
2016-09-01,0.006993006993006993,36.0
2016-10-01,0.0,0.0
2016-11-01,0.0,0.0
2016-12-01,0.00641025641025641,33.0
2017-01-01,0.04046242774566474,209.0
2017-02-01,0.47368421052631576,2442.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.005813953488372093,30.0
2017-06-01,0.0,0.0
2017-07-01,0.07865168539325842,406.0
2017-08-01,0.0,0.0
2017-09-01,0.05714285714285714,295.0
2017-10-01,0.017142857142857144,88.0
2017-11-01,0.005747126436781609,30.0
2017-12-01,0.03428571428571429,177.0
2018-01-01,0.09714285714285714,501.0
2018-02-01,0.3028571428571429,1562.0
2018-03-01,0.011363636363636364,59.0
2018-04-01,0.0,0.0
2018-05-01,0.0111731843575419,58.0
2018-06-01,0.0,0.0
2018-07-01,0.0,0.0
2018-08-01,0.0,0.0
2018-09-01,0.0,0.0
2018-10-01,0.03468208092485549,179.0
2018-11-01,0.06358381502890173,328.0
2018-12-01,0.0,0.0
2019-01-01,0.011428571428571429,59.0
2019-02-01,0.26436781609195403,1363.0
2019-03-01,0.011627906976744186,60.0
2019-04-01,0.06358381502890173,328.0
2019-05-01,0.06358381502890173,328.0
2019-06-01,0.0,0.0
2019-07-01,0.0,0.0
2019-08-01,0.029411764705882353,152.0
2019-09-01,0.0,0.0
2019-10-01,0.023668639053254437,122.0
2019-11-01,0.06748466257668712,348.0
2019-12-01,0.012121212121212121,62.0
2020-01-01,0.023668639053254437,122.0
2020-02-01,0.2994011976047904,1544.0
2020-03-01,0.005952380952380952,31.0
2020-04-01,0.0,0.0
2020-05-01,0.011695906432748537,60.0
2020-06-01,0.0,0.0
2020-07-01,0.020134228187919462,104.0
2020-08-01,0.0,0.0
2020-09-01,0.6875,3545.0
2020-10-01,0.020833333333333332,107.0
2020-11-01,0.010416666666666666,54.0
2020-12-01,0.0,0.0
2021-01-01,0.010416666666666666,54.0
2021-02-01,0.2708333333333333,1396.0
2021-03-01,0.0,0.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
